epoch,psnr,ssim,lpips,psnr_y,ssim_y,train_loss
1,15.7457,0.2513,0.5747,nan,nan,0.501244
1,15.8229,0.2453,0.6205,nan,nan,0.499700
1,15.7727,0.2565,0.5875,nan,nan,0.498222
1,15.3870,0.2507,0.5761,nan,nan,0.496133
1,14.7607,0.2209,0.6124,nan,nan,0.494173
1,15.1174,0.2479,0.5849,nan,nan,0.492392
1,15.1302,0.2376,0.6145,nan,nan,0.490620
1,15.2847,0.2564,0.5798,nan,nan,0.489566
1,15.5823,0.2473,0.6063,nan,nan,0.491588
1,15.7910,0.2558,0.5916,nan,nan,0.491785
1,15.5489,0.2447,0.5842,nan,nan,0.489947
1,15.1610,0.2241,0.6233,nan,nan,0.491441
1,15.7570,0.2454,0.5942,nan,nan,0.489487
1,15.0749,0.2251,0.6155,nan,nan,0.488425
1,15.3112,0.2330,0.6233,nan,nan,0.490791
1,15.0849,0.2293,0.6032,nan,nan,0.492786
1,15.5418,0.2365,0.5980,nan,nan,0.492306
1,16.6706,0.2780,0.5629,nan,nan,0.490811
1,15.1618,0.2485,0.6093,nan,nan,0.492503
1,15.5228,0.2548,0.5678,nan,nan,0.494037
1,15.4939,0.2461,0.6040,nan,nan,0.494247
1,15.7754,0.2470,0.6006,nan,nan,0.492461
1,14.8333,0.2337,0.6135,nan,nan,0.490758
1,14.9030,0.2243,0.5934,nan,nan,0.489716
1,15.6721,0.2460,0.5932,nan,nan,0.490927
1,15.3557,0.2302,0.6146,nan,nan,0.490622
1,15.7874,0.2460,0.5800,nan,nan,0.490188
1,15.5850,0.2364,0.6111,nan,nan,0.492053
1,15.1685,0.2348,0.6026,nan,nan,0.490858
1,15.1815,0.2263,0.6184,nan,nan,0.491074
1,15.8782,0.2523,0.6027,nan,nan,0.493078
1,15.6106,0.2559,0.5918,nan,nan,0.493864
1,15.2619,0.2228,0.6193,nan,nan,0.493842
1,14.3011,0.2210,0.6271,nan,nan,0.492850
1,14.7348,0.2182,0.6274,nan,nan,0.491976
1,16.0859,0.2516,0.6016,nan,nan,0.491145
1,15.3730,0.2201,0.6397,nan,nan,0.490650
1,15.1077,0.2352,0.6097,nan,nan,0.489015
1,15.6817,0.2453,0.5935,nan,nan,0.487787
1,15.2150,0.2296,0.6139,nan,nan,0.487351
1,14.9312,0.2275,0.6430,nan,nan,0.488573
1,15.0404,0.2272,0.6291,nan,nan,0.488016
1,15.8109,0.2552,0.6129,nan,nan,0.486820
1,15.0248,0.2250,0.5978,nan,nan,0.488396
1,14.3883,0.2036,0.6354,nan,nan,0.488395
1,14.6059,0.2213,0.6406,nan,nan,0.487582
1,14.7651,0.2200,0.6384,nan,nan,0.489807
1,14.8536,0.2255,0.6264,nan,nan,0.490437
1,15.3323,0.2201,0.6229,nan,nan,0.492443
1,15.6362,0.2377,0.6102,nan,nan,0.490906
